a,b,c,d,e,f,g,h,,,,,,,,,,,,,
,,,,,,,,26,,,,,,,,,,,,
,,,,,,,,25,,,,,,,,,,,,
,,,,,,,,24,,,,,,,,,,,,
,,,,,,,,23,,,,,,,,,,,,
,,,,,,,,22,,,,,,,,,,,,
,,,,,,,,21,,,,,,,,,,,,
,2P,2P,2K,2P,2P,2P,,20,,,,,,,,,,,,
,,,,,,,,19,,,,,,,,,,,,
,,,,,,,,18,,,,,,,,,,,,
,,,NN,NN,,,,17,,,,,,,,,,,,
,NN,,,,,NN,,16,,,,,,,,,,,,
,,NN,,,NN,,,15,,,,,,,,,,,,
,,,NB,NB,,,,14,,,,,,,,,,,,
,,,NB,NB,,,,13,,,,,,,,,,,,
,,NN,,,NN,,,12,,,,,,,,,,,,
,NN,,,,,NN,,11,,,,,,,,,,,,`
,,,NN,NN,,,,10,,,,,,,,,,,,
,,,,,,,,9,,,,,,,,,,,,
,,,,,,,,8,,,,,,,,,,,,
,1P,1P,1P,1K,1P,1P,,7,,,,,,,,,,,,
,,,,,,,,6,,,,,,,,,,,,
,,,,,,,,5,,,,,,,,,,,,
,,,,,,,,4,,,,,,,,,,,,
,,,,,,,,3,,,,,,,,,,,,
,,,,,,,,2,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,
a,b,c,d,e,f,g,h,,,,,,,,,,,,,
